education_node_id,textbook_id,deleted_at
125,12,
119,12,
112,12,
280,12,
1145,12,
251,12,
1534,13,
245,13,
244,13,
243,13,
242,13,
241,13,
240,13,
326,13,
325,13,
324,13,
323,13,
480,13,
481,13,
482,13,
483,13,
484,13,
1945,13,
472,13,
475,13,
473,13,
373,13,
471,13,
296,13,
783,13,
348,13,
557,13,
2074,14,
1099,14,
2045,14,
1240,14,
1531,14,
2075,14,
958,14,
954,14,
928,14,
2076,14,
1146,15,
2235,15,
457,15,
485,15,
578,15,
817,15,
181,15,
997,15,
1047,15,
2236,15,
2383,15,
2384,15,
2544,11,
127,18,
126,18,
125,18,
171,18,
2567,18,
120,18,
119,18,
118,18,
117,18,
114,18,
256,12,
71,12,
258,12,
1424,12,
1425,12,
259,12,
1427,12,
355,12,
315,12,
160,12,
600,12,
593,12,
509,12,
781,12,
479,12,
362,12,
1787,12,
367,12,
1434,12,
366,12,
365,12,
364,12,
1788,12,
1789,12,
1790,12,
668,13,
663,13,
664,13,
665,13,
1839,13,
1946,13,
1264,13,
1947,13,
1948,13,
1949,13,
1725,13,
2077,14,
2078,14,
2237,15,
2238,15,
2239,15,
2240,15,
2241,15,
2242,15,
2243,15,
2244,15,
2245,15,
2246,15,
783,15,
2089,15,
711,15,
2385,15,
2386,15,
2387,15,
1847,15,
2388,15,
2389,15,
2390,15,
1248,15,
2391,15,
2392,15,
750,15,
2545,11,
121,18,
448,18,
142,18,
136,18,
161,18,
178,18,
2605,18,
2606,18,
137,18,
1406,18,
293,18,
2673,13,
2674,13,
2675,13,
1343,12,
1728,12,
1729,12,
1730,12,
1419,12,
1342,12,
1344,12,
1748,12,
667,13,
669,13,
1840,13,
1841,13,
1842,13,
1843,13,
1844,13,
652,13,
653,13,
654,13,
655,13,
656,13,
657,13,
658,13,
647,13,
334,13,
368,13,
1530,13,
402,13,
1845,13,
475,13,
517,13,
651,13,
562,13,
1373,13,
183,13,
2079,14,
2080,14,
2081,14,
2082,14,
968,14,
2083,14,
2084,14,
2085,14,
2086,14,
994,14,
2247,15,
2248,15,
2249,15,
2250,15,
2251,15,
2252,15,
2253,15,
2254,15,
2393,15,
2394,15,
2395,15,
2396,15,
2397,15,
2398,15,
2399,15,
2400,15,
2401,15,
2402,15,
2403,15,
2404,15,
2405,15,
2406,15,
2407,15,
2546,11,
2026,18,
2568,18,
2569,18,
2570,18,
2571,18,
2572,18,
2573,18,
460,18,
2574,18,
2575,18,
2607,18,
2608,18,
255,15,
256,15,
2653,15,
2654,15,
2676,13,
251,12,
1000,12,
281,12,
377,13,
1327,13,
80,13,
79,13,
1846,13,
1847,13,
1848,13,
1849,13,
1850,13,
1851,13,
1852,13,
1853,13,
936,14,
1950,14,
1951,14,
1952,14,
1953,14,
1954,14,
1955,14,
1956,14,
1957,14,
1958,14,
1959,14,
1960,14,
1961,14,
1139,14,
2255,15,
2256,15,
2257,15,
2075,15,
2258,15,
2259,15,
2408,15,
447,15,
1371,15,
1328,15,
2409,15,
450,15,
2410,15,
822,15,
2411,15,
2412,15,
2413,15,
2414,15,
1673,15,
1280,15,
1206,15,
2415,15,
2416,15,
2547,12,
2576,18,
1402,18,
1657,18,
2609,18,
2610,18,
2611,18,
1661,18,
2612,18,
1662,18,
318,18,
1404,18,
1654,18,
2613,18,
1655,18,
156,18,
2496,18,
2614,18,
2615,18,
321,18,
290,18,
1966,18,
91,18,
449,18,
1395,18,
1649,18,
311,18,
1648,18,
1864,18,
139,18,
2616,18,
533,18,
2577,18,
1242,18,
322,1,
2677,13,
1350,12,
1354,12,
1731,12,
1732,12,
1733,12,
1734,12,
1735,12,
1736,12,
1737,12,
173,13,
1438,13,
1791,13,
1441,13,
1646,13,
1709,13,
168,13,
172,13,
1435,13,
476,13,
372,13,
370,13,
1792,13,
743,13,
312,13,
294,13,
74,13,
86,13,
1854,13,
1855,13,
1962,14,
1963,14,
1964,14,
80,14,
79,14,
1646,14,
2655,1,
1965,14,2026-03-20 16:30:20.434+00
1709,14,
290,14,
1966,14,
1967,14,
321,14,
2087,14,
957,14,
2088,14,
327,14,
2089,14,
2090,14,
2091,14,
538,14,
124,14,
715,14,
554,15,
2260,15,
360,15,
1124,15,
2261,15,
2262,15,
2263,15,
2264,15,
2265,15,
2090,15,
1426,15,
852,15,
1282,15,
2266,15,
2267,15,
2417,15,
2418,15,
2419,15,
2420,15,
2421,15,
2422,15,
2423,15,
2424,15,
2425,15,
2426,15,
